New Castes Values|Related Caste Ids|Mtongue Values
407|16|3
408|121, 242, 16|16
409|98, 130, 242, 99, 200|31
410|146, 242, 125, 20, 64, 122, 136|
411|50, 242|
412|82|
413|20, 17, 64, 71, 242|
414|25|12
415|25, 242|
416|66, 25, 48, 242|
417|25|
418|25|
419|25|
420|25, 143, 242, 127|
421|25|
422|25, 242|
423|30, 25|
424|25|3
425|94|
426|121, 242|
427|94|
428|94, 242|
429|101, 242|
430|94, 25, 242|
431|63, 115|
432|319, 342, 242|
433|70, 74, 242|
434|136, 242, 189|25
435|134, 135, 20|
436|94|
437|79|
438|76, 242|
439|353|
440|116|
441|130, 200, 242|31
442|76, 242|
443|119|3
444|89, 242|
445|215, 242|
446|82, 242|
447|121, 242|
448|116, 242|
449|117, 242, 118, 116, 328|
450|98|
451|123|
452|123|
453|123, 231|
454|123|
455|123|
456|123|
457|123, 242|
458|123|
459|123|
460|124, 82, 242|
461|78, 242, 18|
462|129, 76, 242|
463|108, 242|
464|82|
465|75|
466|49, 25, 242|
467|121, 242, 16|17
467|121, 242, 16|31
468|121, 242|17
469|61|31
