VALUE1|VALUE2|Caste 1|Caste 2|Merge with|New Label
130|200|Thevar|Mukkulathor|Merge with Thevar|Thevar/Mukkulathor
210|51|Shetty|Bunt|Merge with Bunt|Bunt/Shetty
26|305|Brahmin 6000 Niyogi|Brahmin Niyogi|Merge with Brahmin 6000 Niyogi|Brahmin 6000 Niyogi
292|325|Brahmin Dhiman|Dhiman|Merge with Dhiman|Brahmin Dhiman
323|216|Devandra Kula Vellalar|Vellalar Devandra Kula|Merge with Devandra Kula Vellalar|Devendra Kula Vellalar
228|348|Kumbhar|Kumhar|Merge with Kumbhar|Kumhar/Kumbhar
354|113|Leva patil|Patil Leva|Merge with Leva patil|Leva Patil
359|363|Majabi|Mazhbi|Merge with Mazhbi|Majabi/Mazhbi
233|203|Naik|Nayaka|Merge with Naik|Naik/Nayak/Nayaka
253|368|Namasudra|Namosudra|Merge with Namasudra|Namasudra/Namosudra
111|353|Patel Leva|Leva patel|Merge with Patel Leva|Patel Leva
400|219|Veeluthedathu Nair|Nair Veluthedathu|Merge with Nair Veluthedathu|Nair Veluthedathu
215|140|Veera Saivam|Veerashaiva|Merge with Veerashaiva|Veershaiva/Veera Saivam
401|220|Vilakkithala Nair|Nair Vilakkithala|Merge with Nair Vilakkithala|Nair Vilakkithala
402|50|Vishwabrahmin|Brahmin Viswa|Merge with Brahmin Viswa|Brahmin Viswa
146|147|Yadav|Yadava|Merge with Yadav|Yadav/Yadava
287|23|Bhavasar Kshatriya|Bhavsar|Merge with Bhavsar|Bhavsar
