Old Label|New Label
Accounts|Financial Services/Accounting
Ticketing|Travel/Ticketing
Acting|Actor/Model
Banking|Banking Professional
BPO|BPO/ITES
Restaurants|Restaurateur
Front Office|Secretary/Front Office
Graphic design|Web/Graphic Design
Human Resource|HR Professional
Social Services|NGO/Social Services
Agriculture|Agriculture/Dairy
Law|Lawyer/Legal Professional
Logistics/SCM|Logistics/SCM Professional
Packaging|Printing/Packaging
Sales|Sales Professional
Software|Software Professional
Advertising|Advertising Professional
Corporate Planning|Corporate Planning Professional
Architecture|Architect
Businessman|Businessperson
Fashion|Fashion Designer
Journalism|Journalist
Sports|Fitness Professional
Security|Security Professional
Healthcare|Doctor
Engineering/R&D|Engineer - Non IT
Project Management|Project Manager - IT
Teaching|Teacher
Beautician/Fitness Professional|Beautician
