Day,clicks,Total Profiles,conv,Activated profiles,Activated profiles %,inactivated profiles,paid,Male>25,Female,Delhi,Maharashtra,Mumbai,Bangalore,NRI,irrelavant profiles(age wise),irrelavant profiles(age wise %),irrelavant profiles(location wise),irrelavant profiles(location wise)%
2007-04-01,2565,112,4.37,93,83.04,19,,58,14,2,3,3,2,60,21,75,7,25
2007-04-02,2663,87,3.27,71,81.61,16,,47,10,1,1,,1,41,14,66.67,7,33.33
2007-04-03,2504,106,4.23,87,82.08,19,,56,17,2,,,5,53,14,63.64,8,36.36
2007-04-04,2630,95,3.61,74,77.89,21,,49,11,,4,1,5,38,14,77.78,4,22.22
2007-04-05,2602,104,4,95,91.35,9,1,72,13,1,,,2,47,10,58.82,7,41.18
2007-04-06,2428,106,4.37,90,84.91,16,1,58,14,1,5,4,1,52,18,69.23,8,30.77
2007-04-07,2631,111,4.22,98,88.29,13,1,70,10,1,5,3,2,66,18,66.67,9,33.33
2007-04-08,2617,116,4.43,98,84.48,18,,62,12,1,2,1,4,63,24,68.57,11,31.43
2007-04-09,2762,101,3.66,89,88.12,12,1,67,10,,3,2,3,52,12,75,4,25
2007-04-10,2813,110,3.91,99,90,11,1,61,10,1,4,1,6,55,28,65.12,15,34.88
2007-04-11,2824,124,4.39,110,88.71,14,,72,18,2,4,4,4,71,20,68.97,9,31.03
2007-04-12,2807,98,3.49,86,87.76,12,,49,18,2,2,1,4,45,19,79.17,5,20.83
2007-04-13,2329,92,3.95,80,86.96,12,1,51,13,1,2,2,3,38,16,69.57,7,30.43
2007-04-14,2449,95,3.88,85,89.47,10,,59,13,,5,4,2,50,13,59.09,9,40.91
2007-04-15,2581,93,3.6,79,84.95,14,2,53,12,2,5,2,1,44,14,66.67,7,33.33
2007-04-16,2734,124,4.54,108,87.1,16,,66,23,1,4,4,3,61,19,76,6,24
2007-04-17,2449,78,3.18,74,94.87,4,,44,18,1,2,1,1,51,12,85.71,2,14.29
2007-04-18,2504,112,4.47,97,86.61,15,1,56,18,,5,5,1,50,23,67.65,11,32.35
2007-04-19,2480,108,4.35,92,85.19,16,,51,20,,3,2,3,56,21,67.74,10,32.26
2007-04-20,2304,112,4.86,102,91.07,10,,66,14,1,7,2,1,51,22,78.57,6,21.43
2007-04-21,2639,96,3.64,88,91.67,8,1,61,11,1,1,1,3,57,16,69.57,7,30.43
2007-04-22,2680,106,3.96,93,87.74,13,,55,14,,1,,1,59,24,68.57,11,31.43
2007-04-23,2630,92,3.5,78,84.78,14,,57,8,,1,,2,47,13,61.9,8,38.1
2007-04-24,2732,104,3.81,91,87.5,13,,64,13,1,2,1,1,57,14,63.64,8,36.36
2007-04-25,2673,102,3.82,87,85.29,15,1,58,13,1,3,3,4,48,16,61.54,10,38.46
2007-04-26,2424,81,3.34,64,79.01,17,,48,8,1,3,2,1,37,8,50,8,50
2007-04-27,2252,91,4.04,70,76.92,21,,44,12,1,1,1,3,43,14,58.33,10,41.67
2007-04-28,2438,94,3.86,78,82.98,16,,53,14,5,,,,42,11,64.71,6,35.29
2007-04-29,2431,93,3.83,84,90.32,9,,53,8,,5,3,3,44,23,71.88,9,28.13
2007-04-30,2545,96,3.77,83,86.46,13,1,49,16,,1,1,2,51,18,72,7,28
