Day,clicks,Total Profiles,conv,Activated profiles,Activated profiles %,inactivated profiles,paid,Male>25,Female,Delhi,Maharashtra,Mumbai,Bangalore,NRI,irrelavant profiles(age wise),irrelavant profiles(age wise %),irrelavant profiles(location wise),irrelavant profiles(location wise)%
2007-10-01,131,10,7.63,9,90,1,,6,2,,,,,1,1,20,4,80
2007-10-02,136,9,6.62,8,88.89,1,,4,4,,3,,1,1,,0,2,100
2007-10-03,113,9,7.96,9,100,0,,4,4,1,3,3,,2,1,33.33,2,66.67
2007-10-04,146,12,8.22,9,75,3,,3,3,1,,,,,3,60,2,40
2007-10-05,114,2,1.75,2,100,0,,1,1,,,,,,,0,1,100
2007-10-06,116,16,13.79,12,75,4,,7,4,,2,,,1,1,25,3,75
2007-10-07,145,14,9.66,11,78.57,3,,7,2,,1,,1,1,2,50,2,50
2007-10-08,107,6,5.61,6,100,0,,3,2,,1,,,2,1,33.33,2,66.67
2007-10-09,125,3,2.4,2,66.67,1,,1,1,,,,,,,0,1,100
2007-10-10,112,9,8.04,7,77.78,2,,1,5,,1,,,2,1,20,4,80
2007-10-11,128,8,6.25,8,100,0,,7,1,,1,1,,1,,0,2,100
2007-10-12,96,4,4.17,4,100,0,,2,1,,,,,,1,50,1,50
2007-10-13,96,8,8.33,6,75,2,,5,1,,,,1,,,0,3,100
2007-10-14,110,9,8.18,8,88.89,1,,3,2,1,1,,,,3,50,3,50
2007-10-15,134,20,14.93,15,75,5,,7,7,2,1,1,1,1,1,33.33,2,66.67
2007-10-16,123,9,7.32,7,77.78,2,,3,3,1,,,,,1,33.33,2,66.67
2007-10-17,101,3,2.97,3,100,0,,,2,,,,,1,1,50,1,50
2007-10-18,106,7,6.6,6,85.71,1,,4,2,,1,,2,,,0,2,100
2007-10-19,119,9,7.56,8,88.89,1,,6,1,2,,,,,1,33.33,2,66.67
2007-10-20,115,11,9.57,10,90.91,1,,5,5,1,,,1,,,0,3,100
2007-10-21,103,6,5.83,6,100,0,,5,1,,1,1,,,,0,2,100
2007-10-22,136,13,9.56,11,84.62,2,,5,4,,,,1,3,2,66.67,1,33.33
2007-10-23,131,8,6.11,6,75,2,,2,2,3,,,,,2,66.67,1,33.33
2007-10-24,95,8,8.42,6,75,2,,4,2,,,,1,,,0,1,100
2007-10-25,113,11,9.73,7,63.64,4,,6,1,,1,,,1,,0,1,100
2007-10-26,117,9,7.69,8,88.89,1,,6,2,3,,,,1,,0,1,100
2007-10-27,113,13,11.5,11,84.62,2,,4,5,1,1,1,,,2,50,2,50
2007-10-28,110,6,5.45,4,66.67,2,,,4,,,,2,,,0,2,100
2007-10-29,127,8,6.3,5,62.5,3,,4,1,1,,,,,,0,2,100
2007-10-30,114,7,6.14,6,85.71,1,,2,4,2,1,,,,,0,1,100
2007-10-31,142,8,5.63,4,50,4,,3,1,,,,,,,0,2,100
