Day,clicks,Total Profiles,conv,Activated profiles,Activated profiles %,inactivated profiles,paid,Male>25,Female,Delhi,Maharashtra,Mumbai,Bangalore,NRI,irrelavant profiles(age wise),irrelavant profiles(age wise %),irrelavant profiles(location wise),irrelavant profiles(location wise)%
2007-02-01,,1,,1,100,0,,,1,,1,,,,,0,8,100
2007-02-02,,2,,2,100,0,,1,1,,1,,,,,0,11,100
2007-02-03,,0,,0,,0,,,,,,,,,,0,11,100
2007-02-04,,2,,2,100,0,,2,,,,,,1,,0,12,100
2007-02-05,,2,,2,100,0,,1,,,,,,,1,10,9,90
2007-02-06,,2,,2,100,0,,1,1,,1,,,,,0,4,100
2007-02-07,,4,,4,100,0,,3,1,1,,,,,,0,4,100
2007-02-08,,0,,0,,0,,,,,,,,,,0,5,100
2007-02-09,1,0,0,0,,0,,,,,,,,,,0,5,100
2007-02-10,,0,,0,,0,,,,,,,,,,0,5,100
2007-02-11,,0,,0,,0,,,,,,,,,,0,5,100
2007-02-12,,3,,3,100,0,,1,2,,1,,,,,0,7,100
2007-02-13,,7,,7,100,0,,7,,,1,,2,,,0,5,100
2007-02-14,1,2,200,2,100,0,,1,1,,1,,,,,0,8,100
2007-02-15,,0,,0,,0,,,,,,,,,,0,6,100
2007-02-16,,2,,2,100,0,,2,,,,,2,,,0,5,100
2007-02-17,2,5,250,5,100,0,,3,1,1,1,,,,1,16.67,5,83.33
2007-02-18,,3,,3,100,0,,3,,,,,,2,,0,6,100
2007-02-19,,0,,0,,0,,,,,,,,,,0,5,100
2007-02-20,,1,,1,100,0,,1,,1,,,,,,0,4,100
2007-02-21,,2,,2,100,0,,,2,,2,1,,,,0,7,100
2007-02-22,,2,,2,100,0,,1,,,1,1,,,1,16.67,5,83.33
2007-02-23,,3,,3,100,0,,1,1,1,1,,,,1,25,3,75
2007-02-24,,1,,1,100,0,,,1,1,,,,,,0,3,100
2007-02-25,,0,,0,,0,,,,,,,,,,0,3,100
2007-02-26,,2,,2,100,0,,1,1,,1,1,,,,0,4,100
2007-02-27,,1,,1,100,0,,1,,,1,1,,,,0,4,100
2007-02-28,,3,,3,100,0,,2,1,,1,1,1,,,0,7,100
