Day,clicks,Total Profiles,conv,Activated profiles,Activated profiles %,inactivated profiles,paid,Male>25,Female,Delhi,Maharashtra,Mumbai,Bangalore,NRI,irrelavant profiles(age wise),irrelavant profiles(age wise %),irrelavant profiles(location wise),irrelavant profiles(location wise)%
2006-11-01,257,25,9.73,24,96,1,,16,6,7,,,1,,2,33.33,4,66.67
2006-11-02,65,9,13.85,8,88.89,1,,3,3,,1,,2,,2,28.57,5,71.43
2006-11-03,3,8,266.67,8,100,0,,5,3,2,1,1,,,,0,6,100
2006-11-04,8,8,100,8,100,0,,4,4,,5,3,,1,,0,1,100
2006-11-05,5,4,80,4,100,0,,3,1,1,1,1,,,,0,2,100
2006-11-06,5,10,200,10,100,0,,9,1,1,3,2,1,1,,0,5,100
2006-11-07,5,7,140,7,100,0,,4,2,1,,,,1,1,11.11,8,88.89
2006-11-08,3,6,200,6,100,0,,5,1,,1,1,1,1,,0,9,100
2006-11-09,3,9,300,9,100,0,,7,1,1,4,1,,,1,12.5,7,87.5
2006-11-10,3,5,166.67,5,100,0,,3,1,1,,,,,1,11.11,8,88.89
2006-11-11,,4,,4,100,0,,2,2,,1,,,2,,0,5,100
2006-11-12,10,21,210,20,95.24,1,,10,8,,3,,1,,2,28.57,5,71.43
2006-11-13,3,14,466.67,14,100,0,,9,5,,3,,2,,,0,6,100
2006-11-14,3,9,300,9,100,0,,7,2,,,,1,1,,0,7,100
2006-11-15,781,72,9.22,71,98.61,1,,55,12,4,11,7,6,2,4,40,6,60
2006-11-16,670,59,8.81,58,98.31,1,,47,6,8,5,1,5,,5,55.56,4,44.44
2006-11-17,5,4,80,4,100,0,,2,1,2,,,,,1,33.33,2,66.67
2006-11-18,6,4,66.67,4,100,0,,2,2,,1,1,,,,0,3,100
2006-11-19,8,1,12.5,1,100,0,,,1,,,,,,,0,1,100
2006-11-20,2,7,350,7,100,0,,5,2,1,2,2,,1,,0,6,100
2006-11-21,1160,75,6.47,74,98.67,1,,58,8,8,9,5,4,,8,66.67,4,33.33
2006-11-22,10,7,70,7,100,0,,6,1,3,1,,,,,0,4,100
2006-11-23,5,11,220,11,100,0,,8,3,1,1,1,1,1,,0,8,100
2006-11-24,417,30,7.19,29,96.67,1,,22,6,6,2,,1,,1,12.5,7,87.5
2006-11-25,48,5,10.42,5,100,0,,3,2,,,,,1,,0,3,100
2006-11-26,119,12,10.08,12,100,0,,7,5,2,,,1,,,0,3,100
2006-11-27,3,15,500,15,100,0,,14,,,5,4,1,,1,12.5,7,87.5
2006-11-28,8,10,125,10,100,0,,5,2,1,1,,,1,3,33.33,6,66.67
2006-11-29,564,42,7.45,40,95.24,2,,25,13,4,4,2,,1,2,33.33,4,66.67
2006-11-30,47,9,19.15,9,100,0,1,3,6,1,,,1,,,0,2,100
