Day,clicks,Total Profiles,conv,Activated profiles,Activated profiles %,inactivated profiles,paid,Male>25,Female,Delhi,Maharashtra,Mumbai,Bangalore,NRI,irrelavant profiles(age wise),irrelavant profiles(age wise %),irrelavant profiles(location wise),irrelavant profiles(location wise)%
2007-04-01,13647,781,5.72,665,85.15,116,4,367,145,59,91,48,52,97,153,91.07,15,8.93
2007-04-02,14743,795,5.39,662,83.27,133,1,358,123,73,77,40,48,92,181,88.29,24,11.71
2007-04-03,15555,858,5.52,712,82.98,146,1,382,140,63,82,38,47,92,190,90.91,19,9.09
2007-04-04,16185,860,5.31,717,83.37,143,2,359,157,58,85,45,45,111,201,87.77,28,12.23
2007-04-05,15590,829,5.32,710,85.65,119,1,376,149,59,80,41,47,127,185,90.24,20,9.76
2007-04-06,14948,824,5.51,716,86.89,108,2,371,147,66,85,51,43,105,198,89.59,23,10.41
2007-04-07,16133,840,5.21,723,86.07,117,1,370,152,71,89,40,48,92,201,90.13,22,9.87
2007-04-08,14471,756,5.22,645,85.32,111,3,334,143,57,91,44,56,109,168,83.17,34,16.83
2007-04-09,16141,815,5.05,661,81.1,154,1,344,146,58,78,46,33,120,171,90.48,18,9.52
2007-04-10,16283,822,5.05,665,80.9,157,2,346,141,63,79,45,41,113,178,87.25,26,12.75
2007-04-11,16347,854,5.22,725,84.89,129,2,385,144,67,79,45,40,110,196,87.5,28,12.5
2007-04-12,15730,780,4.96,650,83.33,130,,333,129,55,82,41,33,100,188,92.16,16,7.84
2007-04-13,14842,809,5.45,672,83.07,137,,356,145,42,85,41,39,115,171,87.24,25,12.76
2007-04-14,14585,796,5.46,648,81.41,148,1,323,160,54,91,48,26,86,165,89.19,20,10.81
2007-04-15,13851,802,5.79,676,84.29,126,,369,133,60,85,46,35,107,174,88.78,22,11.22
2007-04-16,15214,766,5.03,633,82.64,133,2,346,125,41,79,43,39,106,162,90.5,17,9.5
2007-04-17,15863,867,5.47,721,83.16,146,1,369,179,73,91,48,39,116,173,93.51,12,6.49
2007-04-18,15293,828,5.41,691,83.45,137,1,347,165,51,82,53,41,95,179,91.33,17,8.67
2007-04-19,14645,791,5.4,688,86.98,103,2,360,144,61,72,38,54,99,184,92,16,8
2007-04-20,15206,777,5.11,647,83.27,130,1,337,127,68,84,48,32,94,183,88.41,24,11.59
2007-04-21,15130,798,5.27,673,84.34,125,1,380,150,51,85,41,42,93,143,89.94,16,10.06
2007-04-22,14178,782,5.52,692,88.49,90,3,382,154,54,104,58,44,109,156,87.64,22,12.36
2007-04-23,15804,785,4.97,658,83.82,127,4,333,159,58,83,52,42,107,166,89.25,20,10.75
2007-04-24,15834,835,5.27,697,83.47,138,,359,156,51,98,58,48,104,182,90.1,20,9.9
2007-04-25,15164,771,5.08,627,81.32,144,,328,148,50,94,48,42,93,151,92.07,13,7.93
2007-04-26,14757,795,5.39,678,85.28,117,,353,152,51,95,55,43,106,173,90.1,19,9.9
2007-04-27,14396,711,4.94,599,84.25,112,3,325,114,55,74,41,38,84,160,93.02,12,6.98
2007-04-28,14534,723,4.97,614,84.92,109,1,315,159,56,85,41,36,83,140,86.96,21,13.04
2007-04-29,13209,728,5.51,609,83.65,119,,327,143,51,80,41,47,95,139,90.26,15,9.74
2007-04-30,15253,769,5.04,671,87.26,98,6,333,159,53,102,59,53,80,179,90.4,19,9.6
