Day,clicks,Total Profiles,conv,Activated profiles,Activated profiles %,inactivated profiles,paid,Male>25,Female,Delhi,Maharashtra,Mumbai,Bangalore,NRI,irrelavant profiles(age wise),irrelavant profiles(age wise %),irrelavant profiles(location wise),irrelavant profiles(location wise)%
2006-07-01,7,0,0,0,62.16,0,2,1107,382,78,286,58,43,218,282,97.58,7,2.42
2006-07-02,12,1,8.33,1,100,0,4,872,286,35,192,30,29,221,211,98.6,3,1.4
2006-07-03,12,2,16.67,2,100,0,2,1021,335,56,232,66,54,251,272,98.91,3,1.09
2006-07-04,18,3,16.67,1,33.33,2,2,1180,402,67,275,44,51,287,296,97.37,8,2.63
2006-07-05,11,0,0,0,64.15,0,3,1051,358,70,230,43,55,247,279,98.59,4,1.41
2006-07-06,14,3,21.43,1,33.33,2,1,894,306,3,211,79,52,217,268,99.63,1,0.37
2006-07-07,23,5,21.74,3,60,2,1,849,317,2,222,1,7,246,260,98.86,3,1.14
2006-07-08,45,3,6.67,2,66.67,1,1,692,242,1,169,2,3,236,228,98.7,3,1.3
2006-07-09,21,2,9.52,2,100,0,,545,204,16,127,1,1,200,180,96.77,6,3.23
2006-07-10,25,1,4,1,100,0,4,668,242,11,157,11,5,199,214,98.17,4,1.83
2006-07-11,448,26,5.8,23,88.46,3,3,627,219,1,119,18,1,257,265,98.51,4,1.49
2006-07-12,564,23,4.08,19,82.61,4,4,907,309,42,208,1,34,239,259,96.28,10,3.72
2006-07-13,585,26,4.44,22,84.62,4,2,813,322,1,189,28,31,251,351,99.43,2,0.57
2006-07-14,568,19,3.35,17,89.47,2,1,573,240,23,129,1,15,238,316,99.06,3,0.94
2006-07-15,684,31,4.53,22,70.97,9,1,513,186,17,87,11,2,211,203,98.07,4,1.93
2006-07-16,865,47,5.43,37,78.72,10,,217,108,32,53,1,2,75,111,97.37,3,2.63
2006-07-17,526,25,4.75,20,80,5,1,629,269,1,149,40,1,245,369,99.19,3,0.81
2006-07-18,501,24,4.79,18,75,6,1,579,210,1,154,31,22,249,321,97.27,9,2.73
2006-07-19,550,21,3.82,17,80.95,4,3,539,203,27,101,24,3,233,226,96.58,8,3.42
2006-07-20,504,16,3.17,13,81.25,3,2,638,276,53,165,38,43,273,421,99.53,2,0.47
2006-07-21,468,21,4.49,12,57.14,9,1,497,171,1,80,4,4,238,222,98.67,3,1.33
2006-07-22,535,20,3.74,14,70,6,5,545,218,21,138,23,22,234,284,98.95,3,1.05
