Day,clicks,Total Profiles,conv,Activated profiles,Activated profiles %,inactivated profiles,paid,Male>25,Female,Delhi,Maharashtra,Mumbai,Bangalore,NRI,irrelavant profiles(age wise),irrelavant profiles(age wise %),irrelavant profiles(location wise),irrelavant profiles(location wise)%
2006-07-01,46,1,2.17,1,100,0,2,1107,383,78,286,58,43,218,282,97.58,7,2.42
2006-07-02,67,6,8.96,6,100,0,4,875,289,35,193,30,29,222,211,98.6,3,1.4
2006-07-03,44,6,13.64,5,83.33,1,2,1023,338,1,232,66,54,253,272,98.91,3,1.09
2006-07-04,31,4,12.9,4,100,0,2,1181,404,1,275,44,51,287,297,97.38,8,2.62
2006-07-05,55,1,1.82,1,100,0,3,1052,358,70,230,43,55,248,279,98.59,4,1.41
2006-07-06,52,5,9.62,5,100,0,1,896,307,3,214,1,52,217,270,99.63,1,0.37
2006-07-07,70,4,5.71,4,100,0,1,850,319,2,224,1,7,247,261,98.86,3,1.14
2006-07-08,39,4,10.26,4,100,0,1,693,243,1,169,2,3,237,230,98.71,3,1.29
2006-07-09,41,2,4.88,2,100,0,,546,205,16,128,1,1,200,180,96.77,6,3.23
2006-07-10,37,3,8.11,3,100,0,4,670,243,11,157,11,5,199,214,98.17,4,1.83
2006-07-11,50,1,2,1,100,0,3,627,219,1,120,1,1,257,266,99.63,1,0.37
2006-07-12,34,3,8.82,3,100,0,4,908,311,42,210,1,34,240,259,97.37,7,2.63
2006-07-13,56,3,5.36,2,66.67,1,2,815,322,1,189,28,31,251,351,99.72,1,0.28
2006-07-14,53,3,5.66,3,100,0,1,573,242,23,131,1,15,238,317,99.37,2,0.63
2006-07-15,55,4,7.27,4,100,0,1,514,189,17,88,1,1,212,203,99.02,2,0.98
2006-07-16,51,5,9.8,5,100,0,,220,109,32,54,1,2,75,112,99.12,1,0.88
2006-07-17,45,6,13.33,6,100,0,1,631,272,1,151,1,1,245,370,99.2,3,0.8
2006-07-18,47,0,0,0,75,0,1,579,210,1,154,31,22,249,321,98.17,6,1.83
2006-07-19,45,3,6.67,3,100,0,3,539,204,1,101,24,3,233,228,97.44,6,2.56
2006-07-20,47,7,14.89,7,100,0,2,641,278,53,166,1,43,274,423,99.76,1,0.24
2006-07-21,45,3,6.67,3,100,0,1,498,173,1,81,1,4,238,222,99.11,2,0.89
2006-07-22,43,2,4.65,2,100,0,5,546,219,21,138,23,22,235,284,99.65,1,0.35
