Day,clicks,Total Profiles,conv,Activated profiles,Activated profiles %,inactivated profiles,paid,Male>25,Female,Delhi,Maharashtra,Mumbai,Bangalore,NRI,irrelavant profiles(age wise),irrelavant profiles(age wise %),irrelavant profiles(location wise),irrelavant profiles(location wise)%
2006-07-01,6545,645,9.85,408,63.26,237,1,628,211,35,171,44,28,160,211,99.06,2,0.94
2006-07-02,3221,370,11.49,250,67.57,120,3,553,197,20,132,34,18,167,174,97.21,5,2.79
2006-07-03,3506,395,11.27,249,63.04,146,1,522,194,15,122,28,21,176,190,97.94,4,2.06
2006-07-04,8279,742,8.96,486,65.5,256,2,692,265,46,177,45,39,205,209,97.66,5,2.34
2006-07-05,5723,521,9.1,344,66.03,177,3,548,239,39,158,42,26,176,214,96.83,7,3.17
2006-07-06,10763,1195,11.1,762,63.77,433,1,876,303,69,208,79,52,213,263,97.05,8,2.95
2006-07-07,9407,1036,11.01,687,66.31,349,1,833,304,59,218,79,42,241,259,97.37,7,2.63
2006-07-08,6048,641,10.6,391,61,250,1,682,238,40,163,49,25,234,226,97.41,6,2.59
2006-07-09,2806,295,10.51,195,66.1,100,,539,198,16,125,20,8,198,179,96.24,7,3.76
2006-07-10,3948,378,9.57,260,68.78,118,4,571,213,23,137,28,17,187,204,97.14,6,2.86
2006-07-11,1114,175,15.71,118,67.43,57,3,467,164,17,88,7,7,227,231,97.88,5,2.12
2006-07-12,4798,443,9.23,287,64.79,156,3,581,201,22,138,32,16,193,213,98.61,3,1.39
2006-07-13,5683,535,9.41,330,61.68,205,2,604,218,27,140,32,21,221,247,96.11,10,3.89
2006-07-14,1598,182,11.39,117,64.29,65,1,421,157,12,87,4,11,210,247,96.86,8,3.14
2006-07-15,20,13,65,9,69.23,4,1,422,147,1,70,2,5,184,184,98.4,3,1.6
2006-07-16,18,6,33.33,5,83.33,1,,60,28,2,10,1,3,28,14,77.78,4,22.22
2006-07-17,544,16,2.94,10,62.5,6,,370,145,1,77,37,1,196,193,97.97,4,2.03
2006-07-18,109,15,13.76,11,73.33,4,1,400,121,2,94,2,2,220,207,97.18,6,2.82
2006-07-19,106,8,7.55,6,75,2,2,404,138,3,70,2,2,208,204,97.14,6,2.86
2006-07-20,117,7,5.98,6,85.71,1,1,394,151,3,83,1,4,243,258,98.85,3,1.15
2006-07-21,118,9,7.63,4,44.44,5,,429,145,5,70,1,5,221,206,98.1,4,1.9
2006-07-22,75,7,9.33,6,85.71,1,4,413,148,2,94,1,2,213,222,97.37,6,2.63
