Day,clicks,Total Profiles,conv,Activated profiles,Activated profiles %,inactivated profiles,paid,Male>25,Female,Delhi,Maharashtra,Mumbai,Bangalore,NRI,irrelavant profiles(age wise),irrelavant profiles(age wise %),irrelavant profiles(location wise),irrelavant profiles(location wise)%
2006-07-01,12438,1160,9.33,721,62.16,439,2,1107,382,78,286,58,43,218,282,94.95,15,5.05
2006-07-02,6972,700,10.04,444,63.43,256,4,872,285,35,192,30,29,220,211,95.91,9,4.09
2006-07-03,12893,1139,8.83,720,63.21,419,2,1020,335,56,232,66,54,249,271,96.1,11,3.9
2006-07-04,12035,1094,9.09,711,64.99,383,2,1179,402,67,275,44,51,286,296,93.67,20,6.33
2006-07-05,10646,1071,10.06,687,64.15,384,3,1051,358,70,230,43,55,247,279,96.21,11,3.79
2006-07-06,35,40,114.29,25,62.5,15,1,893,306,3,211,79,52,216,268,97.81,6,2.19
2006-07-07,40,35,87.5,27,77.14,8,1,847,316,2,221,1,7,244,260,98.86,3,1.14
2006-07-08,43,21,48.84,14,66.67,7,1,691,241,1,168,2,3,235,228,98.7,3,1.3
2006-07-09,27,20,74.07,11,55,9,,545,203,16,127,1,1,199,179,96.76,6,3.24
2006-07-10,2370,221,9.32,135,61.09,86,4,667,242,11,157,11,5,198,214,98.17,4,1.83
2006-07-11,4161,341,8.2,226,66.28,115,3,615,212,21,119,18,12,240,261,99.24,2,0.76
2006-07-12,7807,736,9.43,461,62.64,275,4,896,303,42,207,41,34,226,257,95.9,11,4.1
2006-07-13,5927,618,10.43,395,63.92,223,2,801,318,47,189,28,31,236,345,98.85,4,1.15
2006-07-14,4790,471,9.83,287,60.93,184,1,565,235,23,128,25,15,222,312,98.42,5,1.58
2006-07-15,2348,190,8.09,127,66.84,63,1,497,183,17,87,11,11,194,200,98.04,4,1.96
2006-07-16,4038,480,11.89,297,61.88,183,,193,99,32,50,22,26,50,107,95.54,5,4.46
2006-07-17,9365,911,9.73,539,59.17,372,,619,264,49,149,40,28,233,364,98.38,6,1.62
2006-07-18,5937,608,10.24,364,59.87,244,1,566,208,42,154,31,22,233,318,96.95,10,3.05
2006-07-19,4558,307,6.74,205,66.78,102,3,529,200,27,101,24,16,220,222,96.94,7,3.06
2006-07-20,8062,889,11.03,519,58.38,370,2,629,273,53,165,38,43,262,420,99.29,3,0.71
2006-07-21,1711,148,8.65,98,66.22,50,1,489,169,12,80,4,4,230,220,98.65,3,1.35
2006-07-22,5146,404,7.85,250,61.88,154,5,537,215,21,138,23,22,224,281,98.94,3,1.06
