Day,clicks,Total Profiles,conv,Activated profiles,Activated profiles %,inactivated profiles,paid,Male>25,Female,Delhi,Maharashtra,Mumbai,Bangalore,NRI,irrelavant profiles(age wise),irrelavant profiles(age wise %),irrelavant profiles(location wise),irrelavant profiles(location wise)%
2006-07-01,9992,695,6.96,572,82.3,123,1,314,103,42,77,42,27,124,155,84.24,29,15.76
2006-07-02,9347,747,7.99,606,81.12,141,2,339,134,52,73,35,34,130,133,77.78,38,22.22
2006-07-03,10123,680,6.72,580,85.29,100,1,313,117,48,65,36,23,135,150,82.87,31,17.13
2006-07-04,10493,728,6.94,633,86.95,95,,350,117,39,77,43,37,162,166,79.43,43,20.57
2006-07-05,10734,688,6.41,595,86.48,93,1,311,112,40,78,46,31,143,172,83.09,35,16.91
2006-07-06,10695,714,6.68,605,84.73,109,1,321,115,30,55,30,32,162,169,81.64,38,18.36
2006-07-07,11167,750,6.72,652,86.93,98,,355,120,40,70,34,38,198,177,75,59,25
2006-07-08,11537,772,6.69,675,87.44,97,1,381,125,33,69,33,37,191,169,78.6,46,21.4
2006-07-09,10855,753,6.94,656,87.12,97,,378,129,66,75,41,34,164,149,80.11,37,19.89
2006-07-10,11070,767,6.93,660,86.05,107,3,358,133,55,74,48,50,157,169,80.86,40,19.14
2006-07-11,10914,777,7.12,664,85.46,113,2,353,105,41,65,27,36,198,206,78.33,57,21.67
2006-07-12,11106,756,6.81,635,83.99,121,2,330,131,49,69,36,28,162,174,79.45,45,20.55
2006-07-13,11047,773,7,670,86.68,103,1,352,116,50,61,35,28,182,202,83.47,40,16.53
2006-07-14,11440,776,6.78,651,83.89,125,1,314,115,43,64,30,20,187,222,79.86,56,20.14
2006-07-15,10708,769,7.18,657,85.44,112,1,369,118,37,64,35,38,158,170,77.98,48,22.02
2006-07-16,68,44,64.71,38,86.36,6,,17,16,4,5,2,1,7,5,83.33,1,16.67
2006-07-17,10982,776,7.07,658,84.79,118,,341,131,35,74,37,38,181,186,82.3,40,17.7
2006-07-18,11804,817,6.92,668,81.76,149,1,365,106,48,85,41,33,200,197,73.51,71,26.49
2006-07-19,12319,821,6.66,685,83.43,136,2,362,130,41,67,31,28,188,193,76.59,59,23.41
2006-07-20,12645,828,6.55,716,86.47,112,1,346,130,53,70,41,37,214,240,78.43,66,21.57
2006-07-21,12369,817,6.61,712,87.15,105,,388,133,52,65,33,30,206,191,73.75,68,26.25
2006-07-22,12580,855,6.8,727,85.03,128,3,380,136,54,90,40,31,189,211,82.75,44,17.25
