Day,clicks,Total Profiles,conv,Activated profiles,Activated profiles %,inactivated profiles,paid,Male>25,Female,Delhi,Maharashtra,Mumbai,Bangalore,NRI,irrelavant profiles(age wise),irrelavant profiles(age wise %),irrelavant profiles(location wise),irrelavant profiles(location wise)%
2006-07-01,,0,2.17,0,100,0,2,1107,383,78,286,58,43,218,282,97.58,7,2.42
2006-07-02,,0,8.96,0,100,0,4,875,289,35,193,30,29,222,211,98.6,3,1.4
2006-07-03,,0,13.64,0,83.33,0,2,1023,338,1,232,66,54,253,272,98.91,3,1.09
2006-07-04,,0,12.9,0,100,0,2,1181,404,1,275,44,51,287,297,97.38,8,2.62
2006-07-05,,0,1.82,0,100,0,3,1052,358,70,230,43,55,248,279,98.59,4,1.41
2006-07-06,,0,9.62,0,100,0,1,896,307,3,214,1,52,217,270,99.63,1,0.37
2006-07-07,542,28,5.17,18,64.29,10,1,859,326,1,228,2,1,247,263,98.87,3,1.13
2006-07-08,701,42,5.99,27,64.29,15,1,710,250,2,173,1,3,241,233,98.73,3,1.27
2006-07-09,1641,123,7.5,82,66.67,41,,593,236,7,140,7,7,214,184,96.34,7,3.66
2006-07-10,2271,119,5.24,76,63.87,43,4,711,271,7,174,10,4,204,221,99.55,1,0.45
2006-07-11,6078,319,5.25,209,65.52,110,4,742,290,20,164,18,11,263,289,99.31,2,0.69
2006-07-12,4108,225,5.48,152,67.56,73,4,989,359,16,234,15,18,251,282,99.65,1,0.35
2006-07-13,4366,214,4.9,137,64.02,77,2,891,368,19,213,11,15,259,366,99.73,1,0.27
2006-07-14,6813,552,8.1,357,64.67,195,1,795,349,41,204,39,33,250,345,99.42,2,0.58
2006-07-15,8205,684,8.34,441,64.47,243,1,798,311,52,172,41,24,232,238,99.17,2,0.83
2006-07-16,4906,467,9.52,323,69.16,144,1,434,194,24,128,28,16,87,136,98.55,2,1.45
2006-07-17,5997,483,8.05,301,62.32,182,1,809,375,19,226,33,29,262,390,98.98,4,1.02
2006-07-18,11120,723,6.5,437,60.44,286,1,863,320,51,239,42,24,272,364,98.64,5,1.36
2006-07-19,16426,1117,6.8,768,68.76,349,3,1039,420,77,252,80,51,267,280,97.9,6,2.1
2006-07-20,13602,875,6.43,578,66.06,297,2,1013,434,60,289,68,24,302,473,99.37,3,0.63
2006-07-21,12963,1044,8.05,675,64.66,369,2,937,358,66,241,68,44,260,273,98.2,5,1.8
2006-07-22,15271,1541,10.09,990,64.24,551,9,1167,492,101,372,122,73,272,380,98.96,4,1.04
