Day,clicks,Total Profiles,conv,Activated profiles,Activated profiles %,inactivated profiles,paid,Male>25,Female,Delhi,Maharashtra,Mumbai,Bangalore,NRI,irrelavant profiles(age wise),irrelavant profiles(age wise %),irrelavant profiles(location wise),irrelavant profiles(location wise)%
2006-12-01,1361,93,6.83,69,74.19,24,,40,11,4,9,5,3,22,18,64.29,10,35.71
2006-12-02,1322,78,5.9,69,88.46,9,,42,17,3,8,7,4,20,10,41.67,14,58.33
2006-12-03,1363,76,5.58,64,84.21,12,1,31,17,2,2,1,3,25,16,66.67,8,33.33
2006-12-04,1514,101,6.67,77,76.24,24,,45,26,1,10,5,7,25,6,54.55,5,45.45
2006-12-05,1495,82,5.48,72,87.8,10,,38,23,5,7,3,4,23,11,64.71,6,35.29
2006-12-06,1474,96,6.51,83,86.46,13,,42,22,3,5,2,1,27,19,76,6,24
2006-12-07,1471,83,5.64,73,87.95,10,,41,15,4,5,4,4,21,17,68,8,32
2006-12-08,1325,69,5.21,57,82.61,12,,32,14,5,4,1,6,20,11,68.75,5,31.25
2006-12-09,1372,99,7.22,75,75.76,24,,42,10,3,6,5,5,22,23,67.65,11,32.35
2006-12-10,1345,84,6.25,68,80.95,16,,37,16,3,7,2,1,24,15,83.33,3,16.67
2006-12-11,1428,83,5.81,71,85.54,12,,43,12,5,6,3,5,25,16,94.12,1,5.88
2006-12-12,1505,80,5.32,66,82.5,14,,38,13,,10,5,4,27,15,65.22,8,34.78
2006-12-13,1347,72,5.35,51,70.83,21,1,30,13,3,3,1,5,19,8,61.54,5,38.46
2006-12-14,1429,93,6.51,83,89.25,10,,50,18,2,10,7,3,34,15,50,15,50
2006-12-15,1326,88,6.64,74,84.09,14,,40,14,3,8,6,4,29,20,60.61,13,39.39
2006-12-16,1276,76,5.96,63,82.89,13,,35,18,4,5,3,3,20,10,55.56,8,44.44
2006-12-17,1500,95,6.33,74,77.89,21,,44,16,,8,3,3,23,14,77.78,4,22.22
2006-12-18,1500,84,5.6,72,85.71,12,,45,17,2,3,3,6,20,10,66.67,5,33.33
2006-12-19,1418,86,6.06,73,84.88,13,1,43,21,2,6,5,9,25,9,60,6,40
2006-12-20,1396,80,5.73,67,83.75,13,,41,12,10,5,2,3,19,14,70,6,30
2006-12-21,1281,65,5.07,49,75.38,16,,25,15,2,2,1,1,24,9,40.91,13,59.09
2006-12-22,1270,81,6.38,67,82.72,14,,43,17,2,5,2,3,24,7,50,7,50
2006-12-23,1262,79,6.26,62,78.48,17,3,37,14,4,10,4,3,15,11,61.11,7,38.89
2006-12-24,1237,89,7.19,64,71.91,25,1,38,14,6,5,3,4,23,12,66.67,6,33.33
2006-12-25,1292,108,8.36,90,83.33,18,1,54,18,4,5,2,6,40,18,56.25,14,43.75
2006-12-26,1326,84,6.33,76,90.48,8,2,46,17,2,4,1,3,26,13,68.42,6,31.58
2006-12-28,1393,0,0,0,,0,,,,,,,,,,,0,
2006-12-29,1295,80,6.18,61,76.25,19,1,37,13,4,5,2,5,16,11,78.57,3,21.43
2006-12-30,917,52,5.67,47,90.38,5,,20,12,5,7,5,3,15,15,75,5,25
2006-12-31,1107,63,5.69,52,82.54,11,1,32,11,1,5,4,2,19,9,45,11,55
