Day,clicks,Total Profiles,conv,Activated profiles,Activated profiles %,inactivated profiles,paid,Male>25,Female,Delhi,Maharashtra,Mumbai,Bangalore,NRI,irrelavant profiles(age wise),irrelavant profiles(age wise %),irrelavant profiles(location wise),irrelavant profiles(location wise)%
2006-07-01,,0,2.17,0,100,0,2,1107,383,78,286,58,43,218,282,97.58,7,2.42
2006-07-02,,0,8.96,0,100,0,4,875,289,35,193,30,29,222,211,98.6,3,1.4
2006-07-03,,0,13.64,0,83.33,0,2,1023,338,1,232,66,54,253,272,98.91,3,1.09
2006-07-04,,0,12.9,0,100,0,2,1181,404,1,275,44,51,287,297,97.38,8,2.62
2006-07-05,,0,1.82,0,100,0,3,1052,358,70,230,43,55,248,279,98.59,4,1.41
2006-07-06,,0,9.62,0,100,0,1,896,307,3,214,1,52,217,270,99.63,1,0.37
2006-07-07,542,18,3.32,18,100,0,1,859,326,1,228,2,1,247,263,98.87,3,1.13
2006-07-08,701,28,3.99,27,96.43,1,1,710,250,2,173,1,3,241,233,98.73,3,1.27
2006-07-09,1641,83,5.06,82,98.8,1,,593,236,7,140,7,7,214,184,96.34,7,3.66
2006-07-10,2271,76,3.35,76,100,0,4,711,271,7,174,10,4,204,221,99.55,1,0.45
2006-07-11,6078,215,3.54,209,97.21,6,4,742,290,20,164,18,11,263,289,99.31,2,0.69
2006-07-12,4108,154,3.75,152,98.7,2,4,989,359,16,234,15,18,251,282,99.65,1,0.35
2006-07-13,4366,142,3.25,137,96.48,5,2,891,368,19,213,11,15,259,366,99.73,1,0.27
2006-07-14,6813,368,5.4,357,97.01,11,1,795,349,41,204,39,33,250,345,99.42,2,0.58
2006-07-15,8205,453,5.52,441,97.35,12,1,798,311,52,172,41,24,232,238,99.17,2,0.83
2006-07-16,4906,326,6.64,323,99.08,3,1,434,194,24,128,28,16,87,136,98.55,2,1.45
2006-07-17,5997,306,5.1,301,98.37,5,1,809,375,19,226,33,29,262,390,98.98,4,1.02
2006-07-18,11120,453,4.07,437,96.47,16,1,863,320,51,239,42,24,272,364,98.64,5,1.36
2006-07-19,16426,778,4.74,768,98.71,10,3,1039,420,77,252,80,51,267,280,97.9,6,2.1
2006-07-20,13602,590,4.34,578,97.97,12,2,1013,434,60,289,68,24,302,473,99.37,3,0.63
2006-07-21,12963,685,5.28,675,98.54,10,2,937,358,66,241,68,44,260,273,98.2,5,1.8
2006-07-22,15271,1011,6.62,990,97.92,21,9,1167,492,101,372,122,73,272,380,98.96,4,1.04
2006-07-23,7953,579,7.28,572,98.79,7,2,850,312,43,228,70,32,294,284,99.3,2,0.7
2006-07-24,12425,616,4.96,602,97.73,14,1,885,302,56,226,66,41,286,271,98.55,4,1.45
2006-07-25,13737,686,4.99,675,98.4,11,2,1166,536,57,344,87,40,343,575,98.63,8,1.37
2006-07-26,18218,820,4.5,797,97.2,23,3,1272,592,72,365,82,47,322,547,99.09,5,0.91
2006-07-27,34860,1112,3.19,1085,97.57,27,4,1377,509,115,371,104,58,287,498,99.01,5,0.99
2006-07-28,36276,1099,3.03,1078,98.09,21,3,1326,466,94,358,94,69,258,366,97.08,11,2.92
2006-07-29,28863,923,3.2,902,97.72,21,1,1192,444,91,333,87,62,225,316,98.14,6,1.86
2006-07-30,17359,696,4.01,684,98.28,12,2,981,331,52,257,54,40,250,260,94.89,14,5.11
2006-07-31,27180,828,3.05,802,96.86,26,5,986,376,77,265,72,62,236,328,96.76,11,3.24
